state,price,name,fuel_type,transmmision,make,model,year,condition,millage,engine_size
Oyo State,3255000,Scion xB 2010 Blue,Petrol,Automatic,Scion,xB,2010,Nigerian Used,114387,2400
Delta State,4200000,Toyota Land Cruiser Prado 2009 Black,Petrol,Automatic,Toyota,Land Cruiser Prado,2009,Nigerian Used,237452,4000
Abuja (FCT),3549000,Ford Edge 2014 Black,Petrol,Automatic,Ford,Edge,2014,Nigerian Used,188573,3500
Lagos State,6300000,Mercedes-Benz C250 2013 White,Petrol,Automatic,Mercedes-Benz,C250,2013,Nigerian Used,94846,3500
Abuja (FCT),3328000,Ford Edge 2009 Silver,Petrol,Automatic,Ford,Edge,2009,Nigerian Used,122527,3500
Oyo State,3120000,Ford Edge 2007 Gray,Petrol,Automatic,Ford,Edge,2007,Nigerian Used,113044,3500
Lagos State,3864000,Ford Edge 2011 Red,Petrol,Automatic,Ford,Edge,2011,Nigerian Used,134427,3500
Abuja (FCT),5460000,Toyota Highlander 2008 Gray,Petrol,Automatic,Toyota,Highlander,2008,Nigerian Used,102398,3500
Oyo State,3150000,Subaru Tribeca 2008 Brown,Petrol,Automatic,Subaru,Tribeca,2008,Foreign Used,466150,3600
Abuja (FCT),4472000,Lexus RX 2005 Gray,Petrol,Automatic,Lexus,RX,2005,Nigerian Used,175094,3500
Imo State,4252500,Hyundai Sonata 2011 Red,Petrol,Automatic,Hyundai,Sonata,2011,Foreign Used,321423,2400
Lagos State,6300000,Mercedes-Benz C250 2013 White,Petrol,Automatic,Mercedes-Benz,C250,2013,Nigerian Used,94846,3500
Imo State,4252500,Hyundai Sonata 2011 Red,Petrol,Automatic,Hyundai,Sonata,2011,Foreign Used,321423,2400
Lagos State,3675000,Cadillac CTS 2007 Black,Petrol,Automatic,Cadillac,CTS,2007,Foreign Used,114912,3600
Abuja (FCT),4472000,Lexus RX 2005 Gray,Petrol,Automatic,Lexus,RX,2005,Nigerian Used,175094,3500
Abuja (FCT),5460000,Toyota Highlander 2008 Gray,Petrol,Automatic,Toyota,Highlander,2008,Nigerian Used,102398,3500
Abuja (FCT),7350000,Toyota HiAce 2002 White,Petrol,Manual,Toyota,HiAce,2002,Nigerian Used,210621,2700
Abuja (FCT),3360000,Toyota Camry 2009 Green,Petrol,Automatic,Toyota,Camry,2009,Nigerian Used,248605,2400
Kaduna State,16640000,Toyota Hilux SR 4x4 2014 White,Petrol,Manual,Toyota,Hilux,2014,Nigerian Used,117912,2500
Delta State,7035000,Mercedes-Benz GLK-Class 2012 Black,Petrol,Automatic,Mercedes-Benz,GLK-Class,2012,Nigerian Used,171777,3500
Oyo State,7176000,Lexus ES 2010 Blue,Petrol,Automatic,Lexus,ES,2010,Foreign Used,90580,3500
Abuja (FCT),3549000,Ford Edge 2014 Black,Petrol,Automatic,Ford,Edge,2014,Nigerian Used,188573,3500
Abuja (FCT),3016000,Lexus RX 2002 Silver,Petrol,Automatic,Lexus,RX,2002,Nigerian Used,354319,3000
Lagos State,18900000,Land Rover Range Rover 2014 Blue,Petrol,Automatic,Land Rover,Range Rover,2014,Nigerian Used,66800,5000
Oyo State,3150000,Subaru Tribeca 2008 Brown,Petrol,Automatic,Subaru,Tribeca,2008,Foreign Used,466150,3600
Abuja (FCT),7407750,Mercedes-Benz GL-Class 2009 White,Petrol,Automatic,Mercedes-Benz,GL-Class,2009,Foreign Used,348108,4600
Abuja (FCT),11340000,Toyota Highlander 2012 White,Petrol,Automatic,Toyota,Highlander,2012,Foreign Used,207957,3500
Abuja (FCT),3480748,Lexus GS 300 AWD 2006 Silver,Petrol,Automatic,Lexus,GS,2006,Nigerian Used,222255,3000
Delta State,4200000,Toyota Land Cruiser Prado 2009 Black,Petrol,Automatic,Toyota,Land Cruiser Prado,2009,Nigerian Used,237452,4000
Lagos State,7350000,Infiniti QX56 2012 Blue,Petrol,CVT,Infiniti,QX56,2012,Nigerian Used,202163,5600
Ondo State,4305000,Mazda CX-9 2009 Red,Petrol,Automatic,Mazda,CX-9,2009,Foreign Used,287857,3700
Abuja (FCT),16065000,Dodge Charger 2018 Black,Petrol,Automatic,Dodge,Charger,2018,Foreign Used,119839,3600
Abuja (FCT),14040000,Toyota Highlander 2015 White,Petrol,Automatic,Toyota,Highlander,2015,Nigerian Used,179959,3500
Abuja (FCT),5670000,Toyota Venza 2010 Gray,Petrol,Automatic,Toyota,Venza,2010,Nigerian Used,173587,2500
Delta State,5824000,Toyota Highlander 2005 Black,Petrol,Automatic,Toyota,Highlander,2005,Foreign Used,292256,3300
Abuja (FCT),13650000,Mercedes-Benz C300 2015 Gray,Petrol,Automatic,Mercedes-Benz,C300,2015,Foreign Used,100981,2000
Oyo State,8944000,Toyota Corolla 2014 Black,Petrol,Automatic,Toyota,Corolla,2014,Nigerian Used,101209,1800
Ondo State,5824000,Hyundai Sonata 2011 Silver,Petrol,Automatic,Hyundai,Sonata,2011,Foreign Used,149280,2400
Abuja (FCT),5928000,Toyota Highlander Limited 2008 Gold,Petrol,Automatic,Toyota,Highlander,2008,Nigerian Used,114839,3500
Lagos State,4830000,Hyundai Santa Fe 2014 Black,Petrol,Automatic,Hyundai,Santa Fe,2014,Nigerian Used,172138,2400
